Food Name,Standard Quantity,Type,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Glycemic Index,Suitable for Diabetes,Suitable for Blood Pressure,Calcium (mg),Cholesterol (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Monounsaturated Fats (g),Nutrition Density,Phosphorus (mg),Polyunsaturated Fats (g),Potassium (mg),Saturated Fats (g),Selenium (mcg),Sodium (mg),Vitamin A (mcg),Vitamin B1 (mg),Vitamin B11 (mcg),Vitamin B12 (mcg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B5 (mg),Vitamin B6 (mg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Water (g),Zinc (mg)
tomato sauce,100g,Carbohydrates,59,2.448,0.591,10.973,3.7,8.7,40,1,1,0.083,0,34.3,0.3,2.4,36.8,0.1,20.864,0.3,0.3,66.2,0.1,727.7,0.083,0,0.029,0.032,0.002,0,0.2,2.4,0.8,0.2,17.2,0,3.5,0.224,0.09
tomato sauce with herbs cheese,100g,Carbohydrates,144,4.591,4.15,22.072,5.4,0,30,1,1,90.3,7.3,0.4,2.1,46.4,0.5,0.9,157.1,131.8,2,868.6,1.5,0.029,1.3,0,0.2,0.035,0,0.3,2.9,0.7,0.008,24.4,0,0,0,0.204,0.9
tomato sauce with mushrooms,100g,Carbohydrates,86,3.099,0.258,17.82,3.7,14.1,30,1,1,31.9,0,0.5,2.2,46.6,0.5,0.025,92.8,78.4,0.1,931,0.027,0.019,1.1,0,0.2,0.016,0,0.3,3.1,0.9,0.3,30.4,0,4.7,0.049,0.215,0.5
tomato sauce with onions,100g,Carbohydrates,103,3.337,0.439,21.425,4.4,0,50,1,1,41.7,0,0.4,2.3,46.6,0.7,0.047,108.2,95.6,0.2,1011.9,0.007,0.059,1.3,0,0.2,0.003,0,0.3,3,0.9,0.7,31.1,0,0,0,0.211,0.6
tomato soup,100g,Carbohydrates,74,2.411,0.556,14.837,2.4,12.2,38,1,1,42,0,0.012,0.9,26,0.2,0.2,66.2,45.9,0.2,800,0.2,0.081,479,0,0.044,0,0,0.076,1.3,0,0.1,19.1,0,0.5,0.034,0.12,0.3
tomato soup canned,100g,Carbohydrates,139,6.027,3.157,21.62,1.5,16.5,50,1,1,173.9,10.1,0.2,1.4,30.2,0.2,0.8,224.932,156.2,0.3,461.2,1.8,0.067,0.5,0.014,0.036,0.097,0.061,0.3,1.4,0.5,0.2,15.9,0.07,0.5,0.083,0.217,0.9
tomato stewed,100g,Carbohydrates,97,0,0,24.25,2.1,0,40,1,1,0,0,32,0.1,1.3,18.5,1.3,24.1,0.2,1.1,46.7,0.6,303.8,0.6,0,0,0.1,0.083,0,0.073,1.4,0.3,0.1,22.4,0,0,0.099,0.08
tomato vegetable juice,100g,Carbohydrates,53,1.523,0.203,11.27,1.9,9.2,40,1,1,26.6,0,0.5,1,26.6,0,0.014,109.3,41.1,0.1,467.1,0.014,0.046,0.2,0,0.034,0.047,0,0.097,1.8,0,0.3,67,0,0.8,0.085,0.226,0.5
tomato vegetable soup,100g,Carbohydrates,54,1.886,0.794,9.827,0.7,2.4,40,1,1,19.6,0,0.1,0.6,9.8,0.1,0.3,36.4,34.3,0.054,164.2,0.4,0.06,0.3,0,0.088,0.03,0,0.091,1.2,0.1,0.095,2.9,0,0.4,0.079,0.231,0.2
tomatoes,100g,Carbohydrates,54,0,0,13.5,14,2.63,55,1,1,197,0,0.059,0.27,13,7.348,0.031,123.44,24,0.083,340,0.028,0,464,42,0.037,0.079,0,0.019,0.594,0.507,0.08,13.7,3.945,0.54,7.9,0.095,0.17
tomatoes canned,100g,Carbohydrates,77,3.323,0.581,14.619,4.6,10.6,40,1,1,82.3,0,0.4,3.1,48.4,0.4,0.1,134.6,77.4,0.3,709.1,0.062,0.096,0.3,0,0.2,0.083,0,0.1,3,0.7,0.4,22.3,0,3,0.038,0.216,0.7
tomatoes in tomato juice canned,100g,Carbohydrates,41,1.6,0.253,8.082,2.4,5.7,40,1,1,74.4,0,0.2,2.3,26.4,0.2,0.013,113.2,45.6,0.1,451.2,0.08,0.06,0.3,0,0.1,0.083,0,0.1,1.7,0.3,0.3,22.3,0,1.6,0.024,0.226,0.3
tomatoseed oil,100g,Fat,900,0,100,0,0,0,0,1,1,0,0,0,0,0,0,49.7,218,0,0.116,0,42.9,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,0
tongues of fire beans,100g,Carbohydrates,90,2.791,3.488,11.861,2,6.993,39,1,1,104,4.178,10.219,1.479,78,7.348,1.557,24.98,81.581,1.174,185,1.031,56.024,112,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,74.392,0.727
tonic water,100g,Carbohydrates,114,0,0,28.5,0,29.6,65,0,1,3.4,0,0.031,0.09,0,0.05,0,33.038,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0.306,0.3
toor dal,100g,Carbohydrates,179,0,0,44.75,7,6.993,29,1,1,87,4.178,10.219,1.479,25,7.348,1.557,27.57,81.581,1.174,191,1.031,56.024,135,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
"toor dal (pigeon peas, india)",100g,Protein,142,14.343,4.303,11.475,7,1.639,19,1,1,180,143.253,5.56,2.725,81,4.058,6.872,34,273.205,2.819,341,5.983,41.361,370,12.275,0.281,0.081,0.308,0.335,5.802,1.874,0.517,4.834,0.474,0.574,4.115,0.106,3.076
tortilla,100g,Carbohydrates,467,0,0,100,4.7,5.4,60,1,1,137.9,0,0.2,7.5,37.4,0.5,0.4,264.7,287.6,0.8,206.9,0.6,0.011,0.9,0,0.7,0.2,0,0.2,8.1,0.3,0.1,0,0,0.4,0.028,0,0.6
tortilla chips,100g,Carbohydrates,142,2.051,6.055,19.825,1.6,0.2,50,1,1,0.014,0,31.8,0.2,0.5,25.2,1.7,30.699,0,3.2,67.5,0.8,54.6,0.077,0.2,0,0.006,0.071,0.031,0.057,0.3,0.4,0.092,0,0,1.1,0.8,0.041
tortilla chips low fat,100g,Carbohydrates,117,3.095,1.597,22.561,1.5,0.2,50,1,1,45,0,0.006,0.5,27.5,0,0.5,74.368,90,0.8,77,0.2,0.087,0.1,0,0.089,0.052,0,0.001,0.1,0,0.003,0.095,0,0.2,0.043,0.5,0.3
tostada with beans cheese,100g,Protein,223,44.599,4.956,0,0,0,30,1,1,210.2,30.2,0.2,1.9,59,0.4,3.1,259.467,116.6,0.7,403.2,5.4,0.072,0.5,0.011,0.1,0.05,0.017,0.3,1.3,1.1,0.2,1.3,0,0,0,0.095,1.9
tostada with beef cheese,100g,Carbohydrates,315,19.067,16.357,22.88,0,0,30,1,1,216.8,40.8,0.3,2.9,63.6,0.5,3.3,280.498,179.3,1,572.1,10.4,0.093,0.9,0.022,0.034,0.076,0.069,0.6,3.1,1.9,0.2,2.6,0,0,0,0.101,3.7
tostada with guacamole,100g,Fat,180,0,20,0,0,0,40,1,1,211.4,19.6,0.1,0.8,36.5,0.2,4.2,247.853,116.1,1.5,324.9,4.9,0.096,0.4,0.016,0.092,0.004,0.047,0.3,1,1,0.1,1.8,0,0,0,0.095,2
traditional sourdough bread,100g,Carbohydrates,43,0,0,10.75,4,6.993,26,1,1,35,4.178,10.219,1.479,75,7.348,1.557,90.97,81.581,1.174,450,1.031,56.024,155,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
trail mix,100g,Carbohydrates,139,3.809,8.176,12.543,0,0,40,1,1,23.4,0,0.3,0.9,47.4,0.3,3.8,51.1,103.5,2.9,205.5,1.7,0,0.014,0,0.1,0.002,0,0.027,1.4,0.3,0.077,0.4,0,0,0,2.8,1
trail mix with chocolate chips,100g,Fat,707,0,78.556,0,0,0,60,1,1,159.1,5.8,1.2,4.9,235.1,1.6,19.8,298.8,565,16.5,946.1,8.9,0,0.2,0,0.6,0.01,0,0.3,6.4,1.4,0.4,1.9,0,0,0,0.01,4.6
tree fern cooked,100g,Carbohydrates,57,0.358,0.086,13.698,5.3,0,35,1,1,11.4,0,0.3,0.2,7.1,0.8,0,75.253,5.7,0,7.1,0,0.085,0.3,0,0,0.031,0,0.4,5,0.083,0.3,42.6,0,0,0,0.126,0.4
tripe soup,100g,Protein,148,17.2,5.2,8.1,0,0,40,1,1,44,118,0.049,1.4,20,0.1,2.2,75.9,84,0.6,162,2.1,0.039,0.8,0,0.041,0,0.093,0.011,1,0.3,0.013,0,0,0.8,0.031,0.167,2.1
triple zero greek yogurt dannon oikos,100g,Carbohydrates,120,0.051,0,29.949,0,6,30,1,1,0,0,0,0,0,0,15,22.598,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triticale,100g,Carbohydrates,106,0.697,0,25.803,2,0,38,1,1,170,0,0.9,4.9,22,6.2,0.4,243.5,687.4,1.8,104,0.7,0,114,0,0.8,0.1,0,0.3,2.7,2.5,0.3,0,0,1.7,0,20.2,6.6
triticale flour,100g,Carbohydrates,439,0,0,100,19,0,35,1,1,45.5,0,0.7,3.4,198.9,5.4,0.2,182.5,417.3,1,605.8,0.4,0,0.096,0,0.5,0.012,0,0.2,3.7,2.8,0.5,0,0,1.2,0,0,3.5
tropical trail mix,100g,Carbohydrates,619,0,0,100,0,0,60,1,1,79.8,0,0.7,3.7,134.4,1.4,3.5,218.6,260.4,7.2,992.6,11.9,0,0.1,0,0.6,0.099,0,0.2,2.1,1.7,0.5,10.6,0,0,0,0,1.6
trout,100g,Protein,234,42.869,5.359,3.573,1,0,0,1,1,70,105,0.082,0.55,32,4.058,3.52,23.69,402,2.681,282,2.46,42,726,134,0.192,0.081,6.88,0.152,9.407,1.874,0.544,4.1,0.474,4.16,0.2,48.198,0.8
trout cooked,100g,Protein,118,17.124,5.5,0,0,0,0,1,1,34.1,45.9,0.1,1.2,17.4,0.7,2.6,57.496,194.7,1.2,287.1,0.9,0.096,0.027,0.02,0.3,0.019,0.026,0.3,3.6,1.4,0.1,0.3,0,0,0,39.3,0.5
trout raw,100g,Protein,117,17.071,5.413,0,0,0,0,1,1,34,45.8,0.1,1.2,17.4,0.7,2.6,57.297,193.6,1.2,285.2,0.9,0.095,0.051,0.1,0.3,0.041,0.027,0.3,3.6,1.5,0.2,0.4,0.032,0.2,0.003,56.4,0.5
"truffle (black, white)",100g,Carbohydrates,31,1.92,0.274,5.213,7,0.2,31,1,1,26,0,0.144,1.65,98,7.348,1.696,124.29,95,1.767,489,0.642,3.7,14,0,0.194,0.079,0,0.036,0.854,0.507,0.073,0,3.945,0.96,6.4,63.86,0.82
truffles,100g,Carbohydrates,61,0.697,4.08,5.374,0.3,4.6,40,1,1,18.8,6.4,0.005,0.2,5.8,0.09,1.5,29.59,20.5,0.1,35.6,2.2,0.032,0.034,0.064,0.049,0.082,0.061,0.028,0.086,0.013,0.045,0.019,0,0.2,0.082,1.6,0.2
tuna,100g,Protein,116,26.69,1.027,0,0,2.21,0,1,1,4,84,0.067,1.53,22,4.058,4.683,47.82,221,3.612,333,2.69,52.6,35,104,0.101,0.081,1.39,0.22,7.332,1.874,0.115,2,0.474,1.23,41.9,55.32,0.9
tuna canned,100g,Protein,102,19.833,2.519,0,0,0,0,1,1,11.2,33.6,0.099,0.8,26.4,0.078,0.6,33.32,173.6,0.9,189.6,0.6,0.025,0.3,0.017,0.032,0.087,0.075,0.079,4.6,0.086,0.2,0,0.07,0.7,0.099,58.6,0.4
tuna canned in oil,100g,Protein,331,49.068,14.97,0,0,0,0,1,1,7.1,55.2,0.2,1.2,60.5,0.081,5.8,69.953,475.3,5.3,592.7,2.3,0.1,0.7,0.03,0.044,0.022,0.033,0.1,20.8,0.7,0.8,0,0,4.1,0.073,0.114,0.8
tuna salad,100g,Protein,179,21.991,9.807,0.693,0.1,0,10,1,1,15,26.7,0.3,2.1,22,0.082,5.9,112.727,364.9,8.5,207,3.2,0.001,387,0.004,0.028,0.059,0.049,0.1,13.7,0.5,0.2,4.5,0,0,0,0.13,1.1
turbinado sugar,100g,Carbohydrates,18,0,0,4.5,0,4.6,70,1,1,0.6,0,0.05,0.018,0.016,0.064,0,5.24,0.052,0,1.3,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0.003
turbot cooked,100g,Protein,388,68.656,12.597,0,0,0,0,1,1,73.1,197.2,0.1,1.5,206.7,0.064,0,157.453,524.7,0,969.9,0,0.1,0.6,0.02,0.2,0.04,0.026,0.3,8.5,2.1,0.8,5.4,0,0,0,0.224,0.9
turbot raw,100g,Protein,388,68.686,12.584,0,0,0,0,1,1,73.4,195.8,0.2,1.5,208.1,0.06,2.5,159.322,526.3,3.6,971,3.1,0.1,0.6,0.001,0.3,0.094,0.09,0.3,9,2.3,0.9,6.9,0,0,0,0.314,0.9
turkey,100g,Protein,300,30,12,18,3,0,18,1,1,25,76,0.062,0.65,45,4.058,0.621,14.01,237,0.524,490,0.588,29.9,411,3,0.036,0.081,0.82,0.204,11.652,1.874,0.763,0,0.474,0.06,0,40,1.63
turkey (dark meat),100g,Protein,212,42.4,4.711,0,1,0,20,1,1,76,125,0.122,1.31,23,4.058,3.663,32.94,213,2.921,283,2.978,29.9,295,15,0.055,0.081,1.64,0.347,6.973,1.874,0.421,0,0.474,0.08,0,0.061,3.26
turkey (white meat),100g,Protein,195,39.001,4.333,0,3,0,0,1,1,90,84,0.065,0.73,46,4.058,1.963,28.72,236,1.579,347,1.586,29.1,482,10,0.035,0.081,0.9,0.211,11.42,1.874,0.724,0,0.474,0.07,0,0.065,1.66
turkey and gravy,100g,Protein,161,14.413,6.44,11.347,0,0,30,1,1,33.6,43.2,0.035,2.2,19.2,0.045,2.3,67.374,194.4,1.1,146.4,2,0.003,1.3,0.018,0.067,0.058,0.099,0.3,4.3,0.5,0.2,0,0,0,0,0.204,1.7
turkey bacon cooked,100g,Protein,313,24.277,22.878,2.498,0,0,30,1,1,7.4,80.4,0.1,1.7,23.8,0,8.9,58.8,377.2,5.6,323.9,6.8,0.092,1.9,0,0.04,0.021,0.045,0.2,2.9,0,0.3,0,0.076,0.8,0.028,26.7,2.5
turkey bologna,100g,Fat,59,3.227,4.538,1.311,0.1,0.8,30,1,1,34.4,21,0.04,0.8,4.5,0.086,1.9,48.096,31.9,1.1,37.8,1.2,0.059,0.3,0.025,0.046,0.098,0,0.085,0.7,0.1,0.004,3.7,0.032,0.1,0.037,18.1,0.4
turkey breast,100g,Protein,147,32.333,1.963,0,0,0,0,1,1,11,76,0.062,0.65,28,4.058,0.621,39.67,237,0.524,377,0.588,29.9,40,3,0.036,0.081,0.82,0.204,11.652,1.874,0.763,0,0.474,0.06,0,65.704,1.63
turkey breast raw,100g,Protein,900,90,10,0,0,0,0,1,1,294.3,1471.6,1.7,27.2,543.4,0.4,60.2,976.092,4211,37.6,6226,43.2,0.5,1.3,0.015,1.3,0.2,0.004,2.6,117.7,14.1,10.9,0,0,0,0,0,35.5
turkey breast roasted,100g,Protein,900,90,10,0,0,0,0,1,1,362.9,1278.7,0.8,24.2,466.6,0.3,42.3,1011.2,3628.8,31.1,4976.6,36.3,0.5,1.1,0,1,0.1,0.004,2.3,110,11,8.3,0,0,0,0,0,35.1
turkey chili,100g,Carbohydrates,185,0,0,46.25,5.4,0,55,1,1,57,76,0.062,0.65,51,7.348,0.621,29.49,237,0.524,732,0.588,29.9,766,3,0.036,0.079,0.82,0.204,11.652,0.507,0.763,0,3.945,0.06,0,0.068,1.63
turkey fat,100g,Fat,45,0,5,0,0,0,0,1,1,0,5.1,0,0,0,0,2.1,5,0,1.2,0,1.5,0.083,0,0,0,0,0,0,0,0,0,0,0.085,0.1,0,0.014,0
turkey giblets cooked,100g,Protein,164,26.202,6.577,0,0,0,0,1,1,0.014,495,17.1,0.7,3.2,23.8,1,32.643,0.2,1.5,236.6,1.6,168.2,0.1,0.095,4.4,0.2,0.3,0.063,1.5,8.2,2.2,0.5,0,0,0.1,63.3,0.072
turkey gizzard cooked,100g,Protein,70,12.526,2.211,0,0,0,0,1,1,7.7,203.4,0.1,1.7,9.5,0.063,0.4,26.231,84.2,0.3,86.9,0.5,0.033,0.031,0.091,0.03,0.045,0.067,0.2,2.9,0.2,0.027,2.8,0,0.025,0,31.1,1.8
turkey gravy dry,100g,Carbohydrates,26,0.708,0.506,4.654,0,0,30,1,1,10.2,1,0.053,0.2,3.1,0.003,0.2,16.335,17.8,0.2,30,0.1,0.073,0.3,0.013,0.026,0.087,0.045,0.011,0.2,0.029,0.03,0.015,0,0,0,0.3,0.01
turkey gravy instant,100g,Carbohydrates,27,0.777,0.971,3.788,0.3,0.5,30,1,1,7.7,1.6,0.012,0.6,2,0.04,0.4,14.333,13.6,0.3,20.5,0.3,0.083,0.3,0.035,0.013,0.042,0.057,0.048,0.029,0.091,0.015,0.092,0,0.046,0.06,0.4,0.032
turkey ham,100g,Protein,38,5.559,1.617,0.303,0,0.1,0,1,1,1.4,18.8,0.047,0.4,5.6,0.074,0.2,9.2,85.1,0.3,83.7,0.1,0.043,0.3,0,0.094,0.096,0.044,0.011,1,0.2,0.024,0,0,0.1,0,20.2,0.7
turkey heart cooked,100g,Protein,35,5.224,1.567,0,0,0,0,1,1,4.2,71.8,0.2,1.4,5.6,0.017,0.3,12.759,48.2,0.4,40.6,0.4,0.001,0.046,0.085,0.07,0.091,0.089,0.3,1.6,0.3,0.1,0.6,0,0.013,0,13.4,0.9
turkey liver cooked,100g,Protein,100,14.911,4.484,0,0,0,0,1,1,10.1,343.4,0.6,0.9,13.8,0.2,0.6,47.3,165.4,1.1,81.1,1.2,0.022,0.083,5.7,0.1,0.4,0.096,1.4,5.9,2.3,0.5,12,0,0.083,0.068,33.9,2.4
turkey meat roasted,100g,Protein,284,56.8,6.311,0,0,0,0,1,1,21,163.5,0.1,1.6,45,0.053,4,76.629,334.5,3.2,358.5,3.2,0.022,0.2,0.004,0.073,0.083,0.019,0.4,14.4,1.4,0.9,0,0.091,0.1,0,0.095,3.7
turkey noodle soup,100g,Carbohydrates,139,7.949,4.076,17.63,1.5,1,55,1,1,22.7,10.1,0.3,1.9,10.1,0.5,1.6,55.582,95.8,1,151.2,1.1,0.028,1.6,0.082,0.1,0.06,0.052,0.1,2.8,0.4,0.017,0.3,0,0.4,0.062,0.218,1.2
turkey pastrami,100g,Protein,38,4.776,1.869,0.519,0.062,1,0,1,1,3.1,19.4,0.023,1.2,4,0.055,0.6,13.579,57,0.5,98.3,0.5,0.014,0.3,0.057,0.044,0.035,0.043,0.071,1,0.2,0.021,2.3,0.003,0.058,0,20.4,0.6
turkey patty fried,100g,Fat,79,3.94,5.051,4.445,0.1,0.053,30,1,1,3.9,21,0.027,0.6,4.2,0.049,2.1,17.934,75.6,1.3,77,1.3,0.054,0.2,0.088,0.096,0.083,0.054,0.032,0.6,0.1,0.069,0,0.078,0.3,0.074,13.9,0.4
turkey pot pie,100g,Protein,699,90,10,0,4.4,0,30,1,1,0,63.5,0,4,0,0,13.7,139.4,0,5.5,0,11.4,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
turkey roast roasted,100g,Protein,209,41.801,4.644,0,0,0,30,1,1,6.8,71.6,0.037,2.2,29.7,0.066,1.6,49.7,329.4,2.2,402.3,2.6,0.081,0.9,0,0.058,0.054,0.079,0.2,8.5,1.1,0.4,0,0.084,0.5,0.09,0.092,3.4
turkey roll,100g,Protein,40,5.013,1.944,0.614,0,0,0,1,1,8.6,14.9,0.088,0.4,4.9,0.085,0.6,16.4,45.4,0.5,72.9,0.6,0.049,0.1,0,0.038,0.072,0.075,0.013,1.3,0.2,0.089,0,0.075,0.009,0,18.9,0.5
turkey salami cooked,100g,Protein,9,1.02,0.51,0.083,0.054,0.063,0,1,1,2,3.8,0.026,0.026,1.1,0.025,0.2,3.796,13.3,0.1,10.8,0.1,0.072,0.023,0.085,0.068,0.036,0.048,0.075,0.2,0.061,0.001,0,0.057,0.017,0.094,3.4,0.1
turkey soup,100g,Carbohydrates,135,10.066,4.342,13.914,0,0,30,1,1,49.6,9.4,0.2,1.9,23.6,0.2,1.8,86.6,103.8,1.1,361.1,1.2,0,0.9,0,0.045,0.014,0.079,0.1,3.6,0.9,0.3,6.4,0,0,0,0.204,2.1
turkey steak fried,100g,Carbohydrates,179,9.192,10.91,11.011,0,0,30,1,1,9,41,0.01,1.4,9.6,0.028,4.4,41.229,149.8,2.8,166.4,2.8,0.013,0.5,0.092,0.075,0.071,0.088,0.1,1.3,0.3,0.1,0,0,0,0,31.6,0.9
turkey taco meat cooked,100g,Protein,271,30.825,13.957,5.522,0,0,30,1,1,126.3,129.9,0.072,3.3,49.4,0.3,4.7,179.7,329.4,3.9,543.5,3.2,0.067,1.2,0,0.1,0.051,0.062,0.6,5.5,1.1,0.5,0,0,0.5,0.089,0.128,4.6
turkey tail mushrooms,100g,Carbohydrates,117,2.489,2.489,21.16,14,0,51,1,1,168,88,0.054,0.59,27,7.348,9.156,42.78,217,5.845,416,6.593,24.2,215,19,0.029,0.079,1.45,0.185,9.202,0.507,0.516,0,3.945,0.46,0,53.59,1.31
turkey vegetable soup,100g,Carbohydrates,72,3.024,2.927,8.39,0.5,2.6,30,1,1,16.9,2.4,0.2,0.8,4.8,0.5,1.3,33,41,0.7,175.9,0.9,0.017,0.9,0.1,0.031,0.076,0.077,0.097,1,0.9,0.079,0,0,0.8,0.017,0.224,0.6
turkey wing cooked,100g,Protein,426,52.694,23.914,0,0,0,0,1,1,44.6,150.7,0.1,2.7,46.5,0.05,8.7,121.3,366.4,5.5,494.8,6.3,0.026,0.1,0,0.092,0.095,0.051,0.2,10.7,1.1,0.8,0,0.03,0.3,0,0.111,3.9
turmeric,100g,Fat,371,0,41.222,0,6,3.963,1,1,1,318,39.069,2.67,1.455,258,2.115,7.485,12.07,147.754,4.689,519,6.559,18.204,91,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,0.048,1.417
turmeric ground,100g,Carbohydrates,8,0.195,0.195,1.366,0.5,0.062,40,1,1,4,0,0.083,0.9,4.2,0.2,0.014,7.8,5.9,0.019,55.6,0.093,0.02,0.064,0,0.085,0.1,0,0.097,0.1,0,0.04,0.6,0,0.033,0.075,0.2,0.009
turmeric root,100g,Carbohydrates,75,0,0,18.75,15,0.48,36,1,1,32,2,0.21,0.87,58,7.348,0.946,102.96,76,0.789,443,0.741,0.6,485,11,0.123,0.079,0,0.01,0.291,0.507,0.227,26.5,3.945,0.3,2.4,0.079,0.32
"turmeric root (southeast asia, india)",100g,Carbohydrates,87,3.991,3.991,8.78,8,6.993,51,1,1,34,4.178,10.219,1.479,57,7.348,1.557,49.22,81.581,1.174,393,1.031,56.024,231,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,75.53,0.727
turnip greens,100g,Carbohydrates,158,0,0,39.5,9,0.51,16,1,1,92,2,0.245,0.78,61,7.348,0.947,39.11,28,0.863,447,0.772,0.9,260,380,0.044,0.079,0,0.07,0.398,0.507,0.191,26.5,3.945,2.12,358.2,0.091,0.14
turnip greens canned,100g,Carbohydrates,27,1.957,0.391,3.913,1.9,0.6,40,1,1,169.9,0,0.1,2.2,28.8,0.4,0.047,202.7,30.2,0.2,203,0.1,0.066,0.082,0,0.017,0.1,0,0.078,0.5,0.3,0.098,22.3,0,2.1,0.4,0.136,0.3
turnip greens cooked,100g,Carbohydrates,29,1.353,0.254,5.327,5,0.8,40,1,1,197.3,0,0.4,1.2,31.7,0.5,0.065,251.2,41.8,0.1,292.3,0.091,0.013,0.4,0,0.077,0.2,0,0.1,0.6,0.4,0.3,39.5,0,2.7,0.5,0.134,0.2
turnip greens raw,100g,Carbohydrates,18,0.699,0.175,3.408,1.8,0.4,40,1,1,104.5,0,0.2,0.6,17.1,0.3,0.04,144.8,23.1,0.066,162.8,0.009,0.026,0.012,0,0.015,0.1,0,0.015,0.3,0.2,0.1,33,0,1.6,0.1,49.3,0.1
turnips,100g,Carbohydrates,90,5.347,4.455,7.129,6,6.993,23,1,1,166,4.178,10.219,1.479,90,7.348,1.557,45.5,81.581,1.174,554,1.031,56.024,385,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,75.53,0.727
turnips (various european countries),100g,Carbohydrates,133,0,0,33.25,8,6.993,15,1,1,106,4.178,10.219,1.479,74,7.348,1.557,40.49,81.581,1.174,454,1.031,56.024,230,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
turnips cooked,100g,Carbohydrates,34,1.014,0.092,7.279,3.1,4.7,40,1,1,0.063,0,34.3,0.025,0.3,12.5,0.089,12.408,0.2,0.076,29.6,0.082,210.6,0.017,0,0,0.001,0.096,0,0.011,0.5,0.2,0.1,18.1,0,0.082,0.146,0.017
turnips raw,100g,Carbohydrates,51,1.473,0.184,10.863,3.3,7,40,1,1,0.057,0,54.9,0.2,0.5,20.1,0.098,17.384,0.2,0.04,49.4,0.074,349.5,0.1,0,0,0.054,0.083,0,0.047,0.7,0.4,0.2,38.4,0,0.088,0.168,0.055
twix mars,100g,Carbohydrates,146,1.404,7.22,18.852,0.3,14,40,1,1,0.085,2,30.7,0.042,0.2,7.8,0.9,27.86,0.071,0.2,30.5,5.5,53.9,0.064,0.081,0.062,0.048,0.007,0.036,0.073,0.3,0.03,0.099,0.2,0,0.2,1.2,0.065
ucuhuba butter oil,100g,Fat,120,0,13.333,0,0,0,0,1,1,0,0,0,0,0,0,0.9,13.6,0,0.4,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0,0,0
ugali (whole maize) with cowpea leaves (kenya),100g,Carbohydrates,99,0,0,24.75,5,6.993,35,1,1,132,4.178,10.219,1.479,91,7.348,1.557,37.81,81.581,1.174,118,1.031,56.024,186,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
ugli fruit,100g,Carbohydrates,162,7.2,0,33.3,9,14.1,17,1,1,117,63,0.086,1.99,54,7.348,5.185,28.92,101,1.032,297,10.943,21.4,185,193,0.364,0.079,0.15,0.235,2.104,0.507,0.062,0.4,3.945,0.82,1.9,23.73,0.72
"ulam (traditional salad herbs, malaysia)",100g,Carbohydrates,55,0,0,13.75,11,6.993,29,1,1,38,4.178,10.219,1.479,32,7.348,1.557,104.43,81.581,1.174,308,1.031,56.024,438,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
"ulluco (peru, bolivia)",100g,Carbohydrates,173,0,0,43.25,12,6.993,18,1,1,58,4.178,10.219,1.479,79,7.348,1.557,35.45,81.581,1.174,447,1.031,56.024,37,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
"umeboshi (pickled plums, japan)",100g,Carbohydrates,109,0,0,27.25,10,6.993,52,1,1,21,4.178,10.219,1.479,88,7.348,1.557,54.58,81.581,1.174,553,1.031,56.024,454,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
unripe banana,100g,Carbohydrates,189,1.432,0,45.818,9,23.29,20,1,1,156,24,0.062,0.24,65,7.348,1.953,18.49,69,0.296,495,4.121,1.5,294,68,0.032,0.079,0.21,0.148,0.254,0.507,0.117,3.6,3.945,0.42,0.6,52.75,0.45
upma,100g,Carbohydrates,220,0,0,55,2,1.61,55,1,1,25,0,0.056,4.06,28,7.348,1.036,11.1,29,1.092,130,0.367,3.2,520,11,0.075,0.079,0,0.039,0.767,0.507,0.079,11,3.945,0.66,5.7,0.081,0.22
